cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
guangzhou_06_07,guangzhou,广州,6,7,0.533,113.28315,23.119725,2.182,8,6,0,2,0,2,15.0085,245,5996.21,11.2493,28,16,19,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5631,高,内圈
guangzhou_06_08,guangzhou,广州,6,8,0.533,113.29065,23.119725,2.88,0,0,0,0,0,0,0.0,202,5603.91,10.5133,36,15,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2954,低,内圈
guangzhou_07_01,guangzhou,广州,7,1,0.5331,113.23815,23.113475,3.198,5,5,0,0,0,1,9.3799,251,7685.14,14.4171,32,11,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5028,较高,外圈
guangzhou_07_02,guangzhou,广州,7,2,0.5331,113.24565,23.113475,2.588,6,5,1,0,0,2,11.2559,444,9765.8,18.3204,35,16,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6249,高,内圈
guangzhou_07_03,guangzhou,广州,7,3,0.5331,113.25315,23.113475,2.084,5,3,1,0,0,3,9.3799,174,5329.3,9.9976,21,14,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4576,较高,内圈
guangzhou_07_04,guangzhou,广州,7,4,0.5331,113.26065,23.113475,1.779,2,2,0,0,0,1,3.752,268,6622.59,12.4238,20,12,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4313,较低,内圈
guangzhou_07_05,guangzhou,广州,7,5,0.5331,113.26815,23.113475,1.779,0,0,0,0,0,0,0.0,148,4295.37,8.058,9,3,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2912,低,内圈
guangzhou_07_06,guangzhou,广州,7,6,0.5331,113.27565,23.113475,2.084,0,0,0,0,0,0,0.0,172,4440.7,8.3307,18,3,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2831,低,内圈
guangzhou_07_07,guangzhou,广州,7,7,0.5331,113.28315,23.113475,2.588,0,0,0,0,0,0,0.0,108,2468.76,4.6313,2,1,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1935,低,内圈
guangzhou_07_08,guangzhou,广州,7,8,0.5331,113.29065,23.113475,3.198,0,0,0,0,0,0,0.0,56,2186.09,4.1011,5,4,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.164,低,外圈
guangzhou_08_01,guangzhou,广州,8,1,0.5331,113.23815,23.107225,3.623,1,0,0,1,0,1,1.8759,100,3992.59,7.4897,17,1,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2456,低,外圈
guangzhou_08_02,guangzhou,广州,8,2,0.5331,113.24565,23.107225,3.097,4,3,0,1,0,2,7.5036,303,6775.51,12.7101,25,19,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4448,较高,外圈
guangzhou_08_03,guangzhou,广州,8,3,0.5331,113.25315,23.107225,2.691,3,0,1,2,0,2,5.6277,212,5509.64,10.3355,21,4,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.384,较低,内圈
guangzhou_08_04,guangzhou,广州,8,4,0.5331,113.26065,23.107225,2.462,2,1,0,1,0,2,3.7518,110,3501.28,6.568,16,9,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2919,低,内圈
guangzhou_08_05,guangzhou,广州,8,5,0.5331,113.26815,23.107225,2.462,4,4,0,0,0,1,7.5036,293,8080.56,15.1582,49,16,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5123,较高,内圈
guangzhou_08_06,guangzhou,广州,8,6,0.5331,113.27565,23.107225,2.691,0,0,0,0,0,0,0.0,158,5734.11,10.7566,17,10,23,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3063,较低,内圈
guangzhou_08_07,guangzhou,广州,8,7,0.5331,113.28315,23.107225,3.097,3,3,0,0,0,1,5.6277,189,5255.2,9.8582,22,15,35,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.362,较低,外圈
guangzhou_08_08,guangzhou,广州,8,8,0.5331,113.29065,23.107225,3.623,0,0,0,0,0,0,0.0,94,2999.96,5.6276,9,2,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1816,低,外圈
chengdu_01_01,chengdu,成都,1,1,0.4989,104.04055,30.594675,3.497,0,0,0,0,0,0,0.0,35,3298.61,6.6118,6,489,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1772,低,外圈
chengdu_01_02,chengdu,成都,1,2,0.4989,104.04805,30.594675,3.023,1,1,0,0,0,1,2.0044,105,6427.88,12.8842,29,491,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3248,较高,外圈
chengdu_01_03,chengdu,成都,1,3,0.4989,104.05555,30.594675,2.66,0,0,0,0,0,0,0.0,66,6120.91,12.2689,22,487,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2873,较低,内圈
chengdu_01_04,chengdu,成都,1,4,0.4989,104.06305,30.594675,2.459,5,5,0,0,0,1,10.0221,82,7308.72,14.6498,26,486,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5302,高,内圈
chengdu_01_05,chengdu,成都,1,5,0.4989,104.07055,30.594675,2.459,0,0,0,0,0,0,0.0,148,7404.47,14.8417,36,485,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3331,较高,内圈
chengdu_01_06,chengdu,成都,1,6,0.4989,104.07805,30.594675,2.66,0,0,0,0,0,0,0.0,91,4203.13,8.4249,14,482,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2296,低,内圈
chengdu_01_07,chengdu,成都,1,7,0.4989,104.08555,30.594675,3.023,1,1,0,0,0,1,2.0044,90,5271.85,10.567,16,482,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.29,较低,外圈
chengdu_01_08,chengdu,成都,1,8,0.4989,104.09305,30.594675,3.497,0,0,0,0,0,0,0.0,126,6577.05,13.1832,15,490,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2759,较低,外圈
chengdu_02_01,chengdu,成都,2,1,0.4989,104.04055,30.588425,3.055,1,1,0,0,0,1,2.0043,48,5336.0,10.6949,15,489,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2909,较低,外圈
chengdu_02_02,chengdu,成都,2,2,0.4989,104.04805,30.588425,2.498,2,1,1,0,0,2,4.0086,29,4104.61,8.2269,9,488,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3123,较高,内圈
chengdu_02_03,chengdu,成都,2,3,0.4989,104.05555,30.588425,2.044,2,1,1,0,0,2,4.0086,116,8344.65,16.7252,27,491,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4577,高,内圈
chengdu_02_04,chengdu,成都,2,4,0.4989,104.06305,30.588425,1.774,1,1,0,0,0,1,2.0043,205,11625.8,23.3016,64,485,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5284,高,内圈
chengdu_02_05,chengdu,成都,2,5,0.4989,104.07055,30.588425,1.774,2,2,0,0,0,1,4.0086,149,7952.42,15.939,30,484,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4578,高,内圈
chengdu_02_06,chengdu,成都,2,6,0.4989,104.07805,30.588425,2.044,0,0,0,0,0,0,0.0,97,6479.9,12.9877,21,479,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3216,较高,内圈
chengdu_02_07,chengdu,成都,2,7,0.4989,104.08555,30.588425,2.498,0,0,0,0,0,0,0.0,97,7231.24,14.4936,26,480,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3264,较高,内圈
chengdu_02_08,chengdu,成都,2,8,0.4989,104.09305,30.588425,3.055,0,0,0,0,0,0,0.0,72,4562.81,9.1452,13,502,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2277,低,外圈
chengdu_03_01,chengdu,成都,3,1,0.499,104.04055,30.582175,2.721,0,0,0,0,0,0,0.0,115,7146.63,14.3231,37,488,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3161,较高,内圈
chengdu_03_02,chengdu,成都,3,2,0.499,104.04805,30.582175,2.076,1,1,0,0,0,1,2.0042,28,3462.06,6.9386,6,491,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2694,较低,内圈
chengdu_03_03,chengdu,成都,3,3,0.499,104.05555,30.582175,1.499,0,0,0,0,0,0,0.0,70,7013.72,14.0567,19,486,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3628,较高,核心
chengdu_03_04,chengdu,成都,3,4,0.499,104.06305,30.582175,1.103,4,4,0,0,0,1,8.0167,131,9314.9,18.6686,43,486,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6135,高,核心
chengdu_03_05,chengdu,成都,3,5,0.499,104.07055,30.582175,1.103,0,0,0,0,0,0,0.0,87,7437.57,14.9062,25,481,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.397,高,核心
chengdu_03_06,chengdu,成都,3,6,0.499,104.07805,30.582175,1.499,2,2,0,0,0,1,4.0083,89,5477.67,10.9782,16,478,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3966,较高,核心
chengdu_03_07,chengdu,成都,3,7,0.499,104.08555,30.582175,2.076,3,3,0,0,0,1,6.0125,105,8898.4,17.8339,31,481,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.513,高,内圈
chengdu_03_08,chengdu,成都,3,8,0.499,104.09305,30.582175,2.721,0,0,0,0,0,0,0.0,28,2037.25,4.083,7,492,19,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1623,低,内圈
chengdu_04_01,chengdu,成都,4,1,0.499,104.04055,30.575925,2.537,0,0,0,0,0,0,0.0,76,3558.89,7.1322,13,486,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2144,低,内圈
chengdu_04_02,chengdu,成都,4,2,0.499,104.04805,30.575925,1.828,2,2,0,0,0,1,4.0081,148,5167.0,10.3549,21,488,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3715,较高,内圈
chengdu_04_03,chengdu,成都,4,3,0.499,104.05555,30.575925,1.132,0,0,0,0,0,0,0.0,152,9112.23,18.2613,35,484,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4457,高,核心
chengdu_04_04,chengdu,成都,4,4,0.499,104.06305,30.575925,0.5,10,10,0,0,0,1,20.0404,143,8801.35,17.6383,28,484,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.8766,高,核心
chengdu_04_05,chengdu,成都,4,5,0.499,104.07055,30.575925,0.5,1,1,0,0,0,1,2.004,123,6293.5,12.6124,21,477,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4411,高,核心
chengdu_04_06,chengdu,成都,4,6,0.499,104.07805,30.575925,1.132,0,0,0,0,0,0,0.0,112,5222.11,10.4653,12,480,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3286,较高,核心
chengdu_04_07,chengdu,成都,4,7,0.499,104.08555,30.575925,1.828,0,0,0,0,0,0,0.0,74,5769.98,11.5633,20,482,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3096,较低,内圈
chengdu_04_08,chengdu,成都,4,8,0.499,104.09305,30.575925,2.537,0,0,0,0,0,0,0.0,47,3657.94,7.3307,12,480,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2174,低,内圈
chengdu_05_01,chengdu,成都,5,1,0.499,104.04055,30.569675,2.537,2,2,0,0,0,1,4.0078,142,3379.94,6.7731,11,480,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.289,较低,内圈
chengdu_05_02,chengdu,成都,5,2,0.499,104.04805,30.569675,1.828,0,0,0,0,0,0,0.0,59,1289.43,2.5839,2,485,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1747,低,内圈
chengdu_05_03,chengdu,成都,5,3,0.499,104.05555,30.569675,1.132,0,0,0,0,0,0,0.0,29,2313.0,4.635,3,485,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.241,低,核心
chengdu_05_04,chengdu,成都,5,4,0.499,104.06305,30.569675,0.5,4,4,0,0,0,1,8.0156,72,4245.0,8.5066,8,482,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4994,高,核心
chengdu_05_05,chengdu,成都,5,5,0.499,104.07055,30.569675,0.5,0,0,0,0,0,0,0.0,28,984.72,1.9733,1,482,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2413,低,核心
chengdu_05_06,chengdu,成都,5,6,0.499,104.07805,30.569675,1.132,0,0,0,0,0,0,0.0,61,1955.35,3.9183,0,476,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2303,低,核心
chengdu_05_07,chengdu,成都,5,7,0.499,104.08555,30.569675,1.828,0,0,0,0,0,0,0.0,15,819.83,1.6429,0,481,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1606,低,内圈
chengdu_05_08,chengdu,成都,5,8,0.499,104.09305,30.569675,2.537,0,0,0,0,0,0,0.0,34,1720.01,3.4467,3,482,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1591,低,内圈
chengdu_06_01,chengdu,成都,6,1,0.4991,104.04055,30.563425,2.721,2,2,0,0,0,1,4.0076,50,4176.46,8.3687,12,482,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3066,较低,内圈
chengdu_06_02,chengdu,成都,6,2,0.4991,104.04805,30.563425,2.076,1,1,0,0,0,1,2.0038,112,6198.95,12.4214,21,483,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3517,较高,内圈
chengdu_06_03,chengdu,成都,6,3,0.4991,104.05555,30.563425,1.499,0,0,0,0,0,0,0.0,49,4488.7,8.9944,15,485,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2868,较低,核心
chengdu_06_04,chengdu,成都,6,4,0.4991,104.06305,30.563425,1.103,0,0,0,0,0,0,0.0,102,7833.53,15.6967,24,484,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4089,高,核心
chengdu_06_05,chengdu,成都,6,5,0.4991,104.07055,30.563425,1.103,0,0,0,0,0,0,0.0,63,2408.39,4.8259,7,478,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2456,较低,核心
chengdu_06_06,chengdu,成都,6,6,0.4991,104.07805,30.563425,1.499,0,0,0,0,0,0,0.0,176,6894.68,13.8154,18,474,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3592,较高,核心
chengdu_06_07,chengdu,成都,6,7,0.4991,104.08555,30.563425,2.076,0,0,0,0,0,0,0.0,82,5080.04,10.1793,20,478,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.278,较低,内圈
chengdu_06_08,chengdu,成都,6,8,0.4991,104.09305,30.563425,2.721,1,1,0,0,0,1,2.0038,63,4338.2,8.6928,19,479,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2715,较低,内圈
chengdu_07_01,chengdu,成都,7,1,0.4991,104.04055,30.557175,3.055,0,0,0,0,0,0,0.0,44,5152.08,10.323,14,481,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2454,较低,外圈
chengdu_07_02,chengdu,成都,7,2,0.4991,104.04805,30.557175,2.498,0,0,0,0,0,0,0.0,33,3379.47,6.7713,10,486,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2104,低,内圈
chengdu_07_03,chengdu,成都,7,3,0.4991,104.05555,30.557175,2.044,0,0,0,0,0,0,0.0,75,7774.4,15.5772,22,482,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3605,较高,内圈
chengdu_07_04,chengdu,成都,7,4,0.4991,104.06305,30.557175,1.774,3,3,0,0,0,1,6.011,109,9554.95,19.1448,31,483,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5459,高,内圈
chengdu_07_05,chengdu,成都,7,5,0.4991,104.07055,30.557175,1.774,4,4,0,0,0,1,8.0146,94,2691.52,5.3929,3,481,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3794,较高,内圈
chengdu_07_06,chengdu,成都,7,6,0.4991,104.07805,30.557175,2.044,0,0,0,0,0,0,0.0,83,3653.1,7.3195,2,477,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2364,低,内圈
chengdu_07_07,chengdu,成都,7,7,0.4991,104.08555,30.557175,2.498,0,0,0,0,0,0,0.0,203,7141.18,14.3085,41,483,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3236,较高,内圈
chengdu_07_08,chengdu,成都,7,8,0.4991,104.09305,30.557175,3.055,0,0,0,0,0,0,0.0,57,4914.03,9.846,17,481,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2382,低,外圈
chengdu_08_01,chengdu,成都,8,1,0.4991,104.04055,30.550925,3.498,1,1,0,0,0,1,2.0035,55,5620.52,11.2609,16,480,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.287,较低,外圈
chengdu_08_02,chengdu,成都,8,2,0.4991,104.04805,30.550925,3.023,0,0,0,0,0,0,0.0,27,3405.66,6.8233,5,485,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1938,低,外圈
chengdu_08_03,chengdu,成都,8,3,0.4991,104.05555,30.550925,2.66,0,0,0,0,0,0,0.0,87,7505.39,15.0372,31,481,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3289,较高,内圈
chengdu_08_04,chengdu,成都,8,4,0.4991,104.06305,30.550925,2.459,3,3,0,0,0,1,6.0106,154,8834.65,17.7004,44,479,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.496,高,内圈
chengdu_08_05,chengdu,成都,8,5,0.4991,104.07055,30.550925,2.459,2,2,0,0,0,1,4.0071,147,7369.75,14.7655,26,484,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4119,高,内圈
chengdu_08_06,chengdu,成都,8,6,0.4991,104.07805,30.550925,2.66,0,0,0,0,0,0,0.0,144,6348.63,12.7196,32,478,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2941,较低,内圈
chengdu_08_07,chengdu,成都,8,7,0.4991,104.08555,30.550925,3.023,0,0,0,0,0,0,0.0,77,5586.77,11.1932,24,475,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2594,较低,外圈
chengdu_08_08,chengdu,成都,8,8,0.4991,104.09305,30.550925,3.498,5,5,0,0,0,1,10.0176,113,8063.02,16.1545,30,479,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5205,高,外圈
wuhan_01_01,wuhan,武汉,1,1,0.4988,114.27925,30.614675,3.497,0,0,0,0,0,0,0.0,60,4636.52,9.2955,13,28,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2098,较低,外圈
wuhan_01_02,wuhan,武汉,1,2,0.4988,114.28675,30.614675,3.023,1,1,0,0,0,1,2.0048,40,3932.52,7.8841,10,38,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2364,较低,外圈
wuhan_01_03,wuhan,武汉,1,3,0.4988,114.29425,30.614675,2.66,0,0,0,0,0,0,0.0,64,3607.93,7.2333,12,28,1,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2056,较低,内圈
wuhan_01_04,wuhan,武汉,1,4,0.4988,114.30175,30.614675,2.459,0,0,0,0,0,0,0.0,116,6961.63,13.957,20,28,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3081,较高,内圈
wuhan_01_05,wuhan,武汉,1,5,0.4988,114.30925,30.614675,2.459,0,0,0,0,0,0,0.0,172,7333.18,14.7019,29,29,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3186,较高,内圈
wuhan_01_06,wuhan,武汉,1,6,0.4988,114.31675,30.614675,2.66,0,0,0,0,0,0,0.0,14,417.71,0.8374,2,21,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1149,低,内圈
wuhan_01_07,wuhan,武汉,1,7,0.4988,114.32425,30.614675,3.023,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,0,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.0913,低,外圈
wuhan_01_08,wuhan,武汉,1,8,0.4988,114.33175,30.614675,3.497,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.0779,低,外圈
wuhan_02_01,wuhan,武汉,2,1,0.4988,114.27925,30.608425,3.055,1,1,0,0,0,1,2.0047,118,6163.12,12.3553,20,38,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2989,较高,外圈
wuhan_02_02,wuhan,武汉,2,2,0.4988,114.28675,30.608425,2.498,0,0,0,0,0,0,0.0,62,3234.98,6.4852,7,33,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2007,较低,内圈
wuhan_02_03,wuhan,武汉,2,3,0.4988,114.29425,30.608425,2.044,1,0,0,1,0,1,2.0047,94,2581.89,5.176,5,31,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2332,较低,内圈
wuhan_02_04,wuhan,武汉,2,4,0.4988,114.30175,30.608425,1.774,6,1,1,4,0,3,12.0283,107,8239.25,16.5173,42,31,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5727,高,内圈
wuhan_02_05,wuhan,武汉,2,5,0.4988,114.30925,30.608425,1.774,0,0,0,0,0,0,0.0,142,5083.03,10.19,37,31,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2829,较高,内圈
wuhan_02_06,wuhan,武汉,2,6,0.4988,114.31675,30.608425,2.044,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1265,低,内圈
wuhan_02_07,wuhan,武汉,2,7,0.4988,114.32425,30.608425,2.498,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1087,低,内圈
wuhan_02_08,wuhan,武汉,2,8,0.4988,114.33175,30.608425,3.055,0,0,0,0,0,0,0.0,74,2810.18,5.6336,2,28,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1702,低,外圈
wuhan_03_01,wuhan,武汉,3,1,0.4989,114.27925,30.602175,2.72,0,0,0,0,0,0,0.0,64,4070.19,8.159,16,29,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2167,较低,内圈
wuhan_03_02,wuhan,武汉,3,2,0.4989,114.28675,30.602175,2.075,1,1,0,0,0,1,2.0046,73,4684.27,9.39,12,29,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2917,较高,内圈
wuhan_03_03,wuhan,武汉,3,3,0.4989,114.29425,30.602175,1.499,1,1,0,0,0,1,2.0046,176,9999.56,20.045,28,30,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4693,高,核心
wuhan_03_04,wuhan,武汉,3,4,0.4989,114.30175,30.602175,1.103,1,0,0,1,0,1,2.0046,102,8232.55,16.5028,32,35,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4405,高,核心
wuhan_03_05,wuhan,武汉,3,5,0.4989,114.30925,30.602175,1.103,0,0,0,0,0,0,0.0,64,2207.93,4.426,22,21,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2359,较低,核心
wuhan_03_06,wuhan,武汉,3,6,0.4989,114.31675,30.602175,1.499,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,1,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1517,低,核心
wuhan_03_07,wuhan,武汉,3,7,0.4989,114.32425,30.602175,2.075,0,0,0,0,0,0,0.0,15,1187.22,2.3799,2,18,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1589,低,内圈
wuhan_03_08,wuhan,武汉,3,8,0.4989,114.33175,30.602175,2.72,0,0,0,0,0,0,0.0,51,3816.17,7.6498,9,31,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2095,较低,内圈
wuhan_04_01,wuhan,武汉,4,1,0.4989,114.27925,30.595925,2.536,0,0,0,0,0,0,0.0,96,4494.72,9.0095,22,25,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2351,较低,内圈
wuhan_04_02,wuhan,武汉,4,2,0.4989,114.28675,30.595925,1.828,1,1,0,0,0,1,2.0045,199,9857.61,19.7591,38,34,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4495,高,内圈
wuhan_04_03,wuhan,武汉,4,3,0.4989,114.29425,30.595925,1.131,2,0,0,1,0,2,4.0089,170,8213.24,16.4631,33,32,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4716,高,核心
wuhan_04_04,wuhan,武汉,4,4,0.4989,114.30175,30.595925,0.5,1,0,0,1,0,1,2.0045,122,6989.54,14.0102,34,29,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4437,高,核心
wuhan_04_05,wuhan,武汉,4,5,0.4989,114.30925,30.595925,0.5,0,0,0,0,0,0,0.0,2,2331.09,4.6726,1,16,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2779,较高,核心
wuhan_04_06,wuhan,武汉,4,6,0.4989,114.31675,30.595925,1.131,0,0,0,0,0,0,0.0,13,602.29,1.2073,0,16,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1886,低,核心
wuhan_04_07,wuhan,武汉,4,7,0.4989,114.32425,30.595925,1.828,0,0,0,0,0,0,0.0,37,3504.83,7.0253,5,29,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2356,较低,内圈
wuhan_04_08,wuhan,武汉,4,8,0.4989,114.33175,30.595925,2.536,1,1,0,0,0,1,2.0045,94,4499.41,9.0189,18,28,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2686,较低,内圈
wuhan_05_01,wuhan,武汉,5,1,0.4989,114.27925,30.589675,2.537,2,1,0,1,0,2,4.0087,172,7854.1,15.7422,35,38,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3972,高,内圈
wuhan_05_02,wuhan,武汉,5,2,0.4989,114.28675,30.589675,1.828,2,0,1,1,0,2,4.0087,243,12313.0,24.6793,77,39,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5526,高,内圈
wuhan_05_03,wuhan,武汉,5,3,0.4989,114.29425,30.589675,1.132,0,0,0,0,0,0,0.0,120,7473.56,14.9794,37,36,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3839,高,核心
wuhan_05_04,wuhan,武汉,5,4,0.4989,114.30175,30.589675,0.5,0,0,0,0,0,0,0.0,81,2671.47,5.3545,17,14,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2876,较高,核心
wuhan_05_05,wuhan,武汉,5,5,0.4989,114.30925,30.589675,0.5,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,1,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2116,较低,核心
